seq_len,topk,nume,moeh,sed,h,ffnh,numh,numl,lr,bs,ti,loss,smooth loss,average_iter_time,target_iter,final_iter,exp_name,moe_layer_enum_type,mfa_version,numld,Nattn,N,Na,M,kvcache,D,D/N,total_time,Na/N,moe_name
2048,2,88,352,704,1408,3904,11,16,1.726e-04,256,3814,2.746389,2.764802397122768,1.444035,-1,3813,step2v2_0801_2in88_moeh352_sed704_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs256_ti3814_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514989,5507.549489999999,0.10814547892399229,2in88
2048,1,8,3528,3528,1408,3904,11,16,1.726e-04,256,3814,2.703073,2.718996524553569,2.15901,-1,3813,step2v2_0801_1in8_moeh3528_sed3528_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs256_ti3814_mlr1e-5,1dense,mha,1,126877696,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,8234.46414,0.2739621497598428,1in8
2048,3,8,2888,8664,1408,3904,11,16,1.726e-04,256,3814,2.691192,2.70928514435973,4.184013,-1,3813,step2v2_0801_3in8_moeh2888_sed8664_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs256_ti3814_mlr1e-5,1dense,mha,1,126877696,2156188672,1241270272,8001269760,45056,2000000000,0.9275626135930279,15957.825582000001,0.5756779488358243,3in8
2048,1,89,352,352,1408,3904,11,16,1.726e-04,512,1907,2.939396,2.94424596287261,2.425798,-1,1906,step2v2_0801_1in89_moeh352_sed352_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs512_ti1907_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514989,4625.996786,0.08740467610827118,1in89
2048,2,88,352,704,1408,3904,11,16,1.726e-04,512,1907,2.910732,2.9148196647877103,2.6443849999999998,-1,1906,step2v2_0801_2in88_moeh352_sed704_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs512_ti1907_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514989,5042.842194999999,0.10814547892399229,2in88
2048,1,8,3528,3528,1408,3904,11,16,1.726e-04,512,1907,2.851241,2.8532614505031857,4.158726,-1,1906,step2v2_0801_1in8_moeh3528_sed3528_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs512_ti1907_mlr1e-5,1dense,mha,1,126877696,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,7930.690481999999,0.2739621497598428,1in8
2048,3,8,2888,8664,1408,3904,11,16,1.726e-04,512,1907,2.84962,2.8530858306579456,8.113006,-1,1906,step2v2_0801_3in8_moeh2888_sed8664_h1408_ffnh3904_numh11_numl16_lr1.726e-04_bs512_ti1907_mlr1e-5,1dense,mha,1,126877696,2156188672,1241270272,8001269760,45056,2000000000,0.9275626135930279,15471.502442,0.5756779488358243,3in8
2048,1,89,352,352,1408,3904,11,16,2.441e-04,32,30517,2.712042,2.6744621944652582,0.405604,-1,30516,step2v2_0801_1in89_moeh352_sed352_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs32_ti30517_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514989,12377.817268,0.08740467610827118,1in89
2048,2,88,352,704,1408,3904,11,16,2.441e-04,32,30517,2.672833,2.633109470915772,0.420965,-1,30516,step2v2_0801_2in88_moeh352_sed704_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs32_ti30517_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514989,12846.588904999999,0.10814547892399229,2in88
2048,1,8,3528,3528,1408,3904,11,16,2.441e-04,32,30517,2.636467,2.5921150592044873,0.500813,-1,30516,step2v2_0801_1in8_moeh3528_sed3528_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs32_ti30517_mlr1e-5,1dense,mha,1,126877696,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,15283.310320999999,0.2739621497598428,1in8
2048,3,8,2888,8664,1408,3904,11,16,2.441e-04,32,30517,2.612665,2.565453452336501,0.606967,-1,30516,step2v2_0801_3in8_moeh2888_sed8664_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs32_ti30517_mlr1e-5_gg,1dense,mha,1,126877696,2156188672,1241270272,8001269760,45056,2000000000,0.9275626135930279,18522.811939,0.5756779488358243,3in8
2048,1,89,352,352,1408,3904,11,16,2.441e-04,64,15258,2.600385,2.6674640436945936,0.505422,-1,15257,step2v2_0801_1in89_moeh352_sed352_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs64_ti15258_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514989,7711.728876,0.08740467610827118,1in89
2048,2,88,352,704,1408,3904,11,16,2.441e-04,64,15258,2.563875,2.6320488521379413,0.5403,-1,15257,step2v2_0801_2in88_moeh352_sed704_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs64_ti15258_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514989,8243.8974,0.10814547892399229,2in88
2048,1,8,3528,3528,1408,3904,11,16,2.441e-04,64,15258,2.52183,2.5919717520236265,0.711118,-1,15257,step2v2_0801_1in8_moeh3528_sed3528_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs64_ti15258_mlr1e-5,1dense,mha,1,126877696,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,10850.238444,0.2739621497598428,1in8
2048,3,8,2888,8664,1408,3904,11,16,2.441e-04,64,15258,2.503005,2.5727130494343937,1.167076,-1,15257,step2v2_0801_3in8_moeh2888_sed8664_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs64_ti15258_mlr1e-5,1dense,mha,1,126877696,2156188672,1241270272,8001269760,45056,2000000000,0.9275626135930279,17807.245608,0.5756779488358243,3in8
2048,1,89,352,352,1408,3904,11,16,2.441e-04,128,7629,2.686499,2.6903824645122425,0.783853,-1,7628,step2v2_0801_1in89_moeh352_sed352_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs128_ti7629_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514989,5980.014537,0.08740467610827118,1in89
2048,2,88,352,704,1408,3904,11,16,2.441e-04,128,7629,2.648196,2.6549572158120345,0.835952,-1,7628,step2v2_0801_2in88_moeh352_sed704_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs128_ti7629_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514989,6377.477808000001,0.10814547892399229,2in88
2048,1,8,3528,3528,1408,3904,11,16,2.441e-04,128,7629,2.613127,2.6191857969868964,1.170823,-1,7628,step2v2_0801_1in8_moeh3528_sed3528_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs128_ti7629_mlr1e-5,1dense,mha,1,126877696,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,8932.208666999999,0.2739621497598428,1in8
2048,3,8,2888,8664,1408,3904,11,16,2.441e-04,128,7629,2.592,2.599891980262603,2.164286,-1,7628,step2v2_0801_3in8_moeh2888_sed8664_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs128_ti7629_mlr1e-5,1dense,mha,1,126877696,2156188672,1241270272,8001269760,45056,2000000000,0.9275626135930279,16511.337894,0.5756779488358243,3in8
2048,1,89,352,352,1408,3904,11,16,2.441e-04,256,3814,2.730726,2.7470672806187832,1.3259509999999999,-1,3813,step2v2_0801_1in89_moeh352_sed352_h1408_ffnh3904_numh11_numl16_lr2.441e-04_bs256_ti3814_mlr1e-5_gg,1dense,mha,1,126877696,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514989,5057.177113999999,0.08740467610827118,1in89
